"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.428185283,      0.9511183553,       1.095852961,       4.073847244
          0,           0,           1,      -2.322266021,     0.09402051607,      0.2434276462,       3.190062559
          0,           0,           2,      -2.431500124,     -0.1201828162,    -0.04333730585,        3.07751241
          0,           0,           3,      -2.485020204,     -0.1834845475,     -0.1237525525,       3.017522805
          0,           0,           4,      -2.527926825,     -0.2362609458,     -0.2140996876,        2.96964199
          0,           0,           5,      -2.544403529,     -0.2231994225,     -0.2533839835,       2.951280599
          0,           0,           6,        -2.5442616,     -0.2294463276,     -0.3000681683,         2.9532095
          0,           0,           7,      -2.575681359,     -0.2818554449,     -0.3805821374,       2.922728144
          0,           0,           8,      -2.650730474,     -0.2979523956,     -0.4459580292,       2.847995847
          0,           0,           9,      -2.715721633,     -0.2714932139,      -0.505441713,        2.78359626
          0,           0,          10,      -2.784406276,     -0.3173392992,     -0.5945877429,       2.714036683
          0,           0,          11,      -2.869612987,      -0.416748198,     -0.6893540139,        2.62835805
          0,           0,          12,      -2.958982268,     -0.5480453468,     -0.7625301949,       2.538886781
          0,           0,          13,      -3.037731277,     -0.6703728592,     -0.8182268308,       2.460536349
          0,           0,          14,      -3.097973045,     -0.7520254671,     -0.8682648451,       2.401215565
          0,           0,          15,      -3.139834662,     -0.7995135716,     -0.9265994196,       2.359836488
          0,           0,          16,      -3.181344909,     -0.8547968818,       -0.99926772,       2.318197115
          0,           0,          17,      -3.237424031,     -0.9316630145,      -1.077566807,        2.26185771
          0,           0,          18,      -3.310482729,      -1.020787335,      -1.154595257,       2.188728412
          0,           0,          19,      -3.394227651,      -1.110640693,      -1.228364722,        2.10524719
          0,           0,          20,      -3.475923164,      -1.184704746,      -1.296244255,        2.02397619
          0,           0,          21,      -3.546424829,      -1.236894785,      -1.357618665,       1.953594687
          0,           0,          22,      -3.608101771,      -1.279457777,      -1.414712389,       1.891529181
          0,           0,          23,      -3.668622417,       -1.32510974,      -1.470305981,       1.830389319
          0,           0,          24,      -3.731547336,      -1.375600638,      -1.524838937,       1.766949505
          0,           0,          25,      -3.794548721,      -1.426138111,      -1.577928384,       1.703653943
          0,           0,          26,      -3.854414036,      -1.471549929,      -1.630252652,        1.64359935
          0,           0,          27,      -3.911173557,      -1.510181357,      -1.683662629,       1.586554542
          0,           0,          28,      -3.966878969,      -1.544115497,      -1.739628257,       1.530368048
          0,           0,          29,      -4.023340606,      -1.576954888,      -1.798080247,       1.473247919
          0,           0,          30,      -4.080813549,       -1.61076347,      -1.857062058,       1.414981627
          0,           0,          31,      -4.138508507,        -1.6464185,      -1.914356206,       1.356365001
          0,           0,          32,      -4.195023508,      -1.682732795,      -1.969315054,       1.298793004
          0,           0,          33,      -4.250035799,       -1.71821783,      -2.024146243,       1.242580164
          0,           0,          34,      -4.304374829,      -1.751345095,      -2.081529557,       1.186854964
          0,           0,          35,      -4.359334686,      -1.781104316,      -2.142276508,       1.130246097
          0,           0,          36,      -4.415766035,      -1.807276458,      -2.204779231,       1.071794756
          0,           0,          37,      -4.472936388,      -1.830505035,      -2.266156672,       1.012173865
          0,           0,          38,      -4.529070114,      -1.851772185,      -2.323711758,      0.9531890711
          0,           0,          39,      -4.582204479,      -1.871940349,      -2.376352335,      0.8969535357
          0,           0,          40,      -4.630819226,      -1.891369371,      -2.424821268,      0.8452380392
          0,           0,          41,      -4.674681844,      -1.910179142,      -2.470916749,      0.7984965099
          0,           0,          42,      -4.714951294,      -1.928268029,      -2.516402319,      0.7556174845
          0,           0,          43,      -4.753694655,      -1.945446753,      -2.562042268,      0.7143457106
          0,           0,          44,      -4.793089299,      -1.961675201,       -2.60743143,      0.6721784781
          0,           0,          45,      -4.834539068,      -1.977037474,      -2.651261723,      0.6273856391
          0,           0,          46,      -4.878253573,      -1.991697188,      -2.692200306,      0.5795602864
          0,           0,          47,      -4.923134833,      -2.005817177,      -2.729527564,      0.5298553052
          0,           0,          48,      -4.967053064,      -2.019525534,      -2.763433092,      0.4808052371
          0,           0,          49,      -5.007622184,      -2.032831947,      -2.794708907,      0.4355024586
          0,           0,          50,      -5.043261762,      -2.045737982,      -2.824267251,      0.3962422574
          0,           0,          51,      -5.073797778,       -2.05825104,       -2.85280914,      0.3635370675
          0,           0,          52,      -5.100349126,      -2.070396354,      -2.880722789,      0.3360701015
          0,           0,          53,       -5.12457479,      -2.082217125,       -2.90816478,       0.311691811
          0,           0,          54,      -5.147855874,      -2.093762352,      -2.935108874,      0.2885898434
          0,           0,          55,      -5.170885999,      -2.105096368,      -2.961410734,      0.2658799185
          0,           0,          56,      -5.193665446,      -2.116252793,      -2.986898205,      0.2436032018
          0,           0,          57,      -5.215803141,      -2.127261958,      -3.011503291,      0.2223184622
          0,           0,          58,      -5.236877699,      -2.138135444,      -3.035281472,       0.202607271
          0,           0,          59,      -5.256704342,      -2.148871699,       -3.05837276,       0.184705818
          0,           0,          60,      -5.275434868,      -2.159461592,       -3.08096391,      0.1683852735
          0,           0,          61,       -5.29346924,      -2.169898701,      -3.103194747,        0.15308919
          0,           0,          62,       -5.31127288,      -2.180181016,      -3.125149482,      0.1381947961
          0,           0,          63,      -5.329209577,      -2.190313066,      -3.146855709,      0.1232365236
          0,           0,          64,      -5.347447886,      -2.200304791,      -3.168315315,      0.1080160697
