VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -4.042193087,      -4.167474478,       -4.05588452,      -3.600154205
          0,           0,           1,      -4.921954074,      -5.020073188,      -4.901198954,      -4.466870963
          0,           0,           2,      -5.004106737,      -5.219881995,      -5.173532168,      -4.559090279
          0,           0,           3,      -5.006755461,      -5.246572693,      -5.243230418,      -4.570525741
          0,           0,           4,      -4.984624471,      -5.206808845,      -5.329601266,      -4.551602945
          0,           0,           5,      -4.873735099,      -5.019503654,      -5.370517306,      -4.438969095
          0,           0,           6,      -4.831678975,      -4.945130314,      -5.345281682,      -4.395921917
          0,           0,           7,      -4.798173041,      -4.901701282,      -5.413488845,      -4.363139471
          0,           0,           8,      -4.833249761,      -4.963518755,       -5.51799922,      -4.397871737
          0,           0,           9,       -4.89551615,       -5.01250328,      -5.612346078,      -4.462415163
          0,           0,          10,      -5.005999508,      -5.146762383,      -5.690839979,      -4.570579416
          0,           0,          11,      -5.045919683,       -5.21380557,      -5.718928769,      -4.609130944
          0,           0,          12,      -5.098982117,      -5.306404034,      -5.750601714,      -4.661255344
          0,           0,          13,      -5.167298986,      -5.460039063,      -5.788066133,      -4.727556553
          0,           0,          14,      -5.218464804,      -5.502399867,       -5.82939653,      -4.778485604
          0,           0,          15,      -5.272118326,      -5.538379854,      -5.857872612,      -4.832140187
          0,           0,          16,      -5.313620244,      -5.560951655,      -5.858150517,      -4.873453497
          0,           0,          17,      -5.327727934,      -5.542693548,      -5.869404584,      -4.888506633
          0,           0,          18,      -5.356218715,      -5.524764313,      -5.898045362,      -4.918418072
          0,           0,          19,      -5.426574068,      -5.561346567,      -5.929175086,      -4.988919752
          0,           0,          20,         -5.517697,      -5.643564273,      -5.959482575,      -5.078988706
          0,           0,          21,      -5.591042961,      -5.723555532,      -5.984992286,      -5.151281648
          0,           0,          22,      -5.637049056,      -5.772151348,      -6.011331726,      -5.196879607
          0,           0,          23,      -5.672199286,      -5.800957309,      -6.045900548,      -5.232031676
          0,           0,          24,      -5.701073165,      -5.834809128,      -6.091458498,       -5.26108804
          0,           0,          25,       -5.72762947,      -5.882569503,      -6.146204719,       -5.28813514
          0,           0,          26,      -5.768817645,      -5.941236469,       -6.19987457,      -5.329787382
          0,           0,          27,       -5.83351963,      -5.998678907,      -6.246091307,       -5.39437846
          0,           0,          28,      -5.908315453,      -6.042277371,      -6.289620049,       -5.46830156
          0,           0,          29,      -5.957149014,      -6.068876133,      -6.334545639,      -5.516345707
          0,           0,          30,      -5.971823647,      -6.090835351,      -6.381560116,      -5.531103395
          0,           0,          31,       -5.98380899,      -6.122011499,       -6.42975566,      -5.543613042
          0,           0,          32,      -6.015775461,      -6.169116108,      -6.481369396,      -5.576097554
          0,           0,          33,      -6.071763186,      -6.229856411,      -6.533743723,      -5.632432185
          0,           0,          34,      -6.145714183,      -6.297179235,      -6.579421752,      -5.706377502
          0,           0,          35,      -6.216959522,      -6.359109222,       -6.61597591,      -5.777213447
          0,           0,          36,      -6.273922686,      -6.405170164,      -6.649856121,      -5.833743076
          0,           0,          37,      -6.320086214,      -6.440254346,      -6.688583409,      -5.879689792
          0,           0,          38,      -6.366052439,      -6.475211431,      -6.736251124,      -5.925616755
          0,           0,          39,      -6.416242631,      -6.515495284,      -6.792826196,      -5.975870813
          0,           0,          40,        -6.4647339,      -6.557019102,      -6.852889021,      -6.024603105
          0,           0,          41,      -6.503878346,      -6.594338035,      -6.908824073,      -6.064276431
          0,           0,          42,      -6.537636807,      -6.629094159,      -6.956408708,      -6.098683669
          0,           0,          43,      -6.580378103,      -6.670389869,      -6.996687771,      -6.141793052
          0,           0,          44,      -6.638003189,       -6.72135797,       -7.03648002,      -6.199282304
