"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Points:0","Points:1","Points:2"
1.25,285.27,3.1744e-05,0,2.9296e+05,1.0416e+05,290.3,0.66815,0.08245,0,0,0
1.25,285.27,1.6967e-05,0,2.9296e+05,1.0416e+05,290.3,0.66815,0.082454,0.01,0,0
1.25,285.26,1.1822e-05,0,2.9296e+05,1.0417e+05,290.3,0.66814,0.082471,0.019902,0,0
1.25,285.26,7.5174e-06,0,2.9297e+05,1.0417e+05,290.31,0.66813,0.082504,0.029781,0,0
1.25,285.26,9.1656e-06,0,2.9297e+05,1.0417e+05,290.31,0.66811,0.082551,0.039714,0,0
1.25,285.25,1.0292e-05,0,2.9297e+05,1.0417e+05,290.31,0.66809,0.082612,0.049779,0,0
1.25,285.25,9.9343e-06,0,2.9298e+05,1.0417e+05,290.31,0.66806,0.082688,0.060057,0,0
1.2501,285.24,9.6655e-06,0,2.9298e+05,1.0418e+05,290.31,0.66802,0.082781,0.070631,0,0
1.2501,285.23,9.615e-06,0,2.9299e+05,1.0418e+05,290.32,0.66798,0.082894,0.081584,0,0
1.2501,285.22,9.5335e-06,0,2.93e+05,1.0418e+05,290.32,0.66793,0.083031,0.092998,0,0
1.2502,285.2,9.431e-06,0,2.9301e+05,1.0419e+05,290.32,0.66786,0.083193,0.10496,0,0
1.2502,285.19,9.3559e-06,0,2.9302e+05,1.042e+05,290.33,0.66779,0.083388,0.11754,0,0
1.2503,285.17,9.3125e-06,0,2.9303e+05,1.0421e+05,290.34,0.6677,0.083619,0.13082,0,0
1.2504,285.14,9.3021e-06,0,2.9305e+05,1.0421e+05,290.34,0.66759,0.083893,0.14488,0,0
1.2505,285.12,9.3341e-06,0,2.9307e+05,1.0423e+05,290.35,0.66747,0.084219,0.15977,0,0
1.2506,285.08,9.4179e-06,0,2.9309e+05,1.0424e+05,290.36,0.66732,0.084605,0.17556,0,0
1.2507,285.05,9.569e-06,0,2.9312e+05,1.0426e+05,290.38,0.66714,0.085062,0.19229,0,0
1.2509,285,9.8041e-06,0,2.9315e+05,1.0427e+05,290.39,0.66693,0.085601,0.21,0,0
1.2511,284.95,1.0139e-05,0,2.9319e+05,1.043e+05,290.41,0.66668,0.086238,0.22869,0,0
1.2513,284.88,1.0595e-05,0,2.9324e+05,1.0432e+05,290.43,0.66639,0.086987,0.24839,0,0
1.2516,284.81,1.121e-05,0,2.9329e+05,1.0435e+05,290.45,0.66605,0.087867,0.26905,0,0
1.2519,284.72,1.2028e-05,0,2.9335e+05,1.0439e+05,290.48,0.66565,0.088897,0.29066,0,0
