"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2491,2.9279e+05,0.66928,285.51,7.4964e-08,0,1.0406e+05,0.079541,290.22,1,0,0,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.0085308,0,1.0406e+05,0.079541,290.22,1,0.003,0.003,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.017062,0,1.0406e+05,0.079541,290.22,1,0.006,0.006,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.025596,0,1.0406e+05,0.079543,290.22,1,0.009,0.009,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.034132,0,1.0406e+05,0.079545,290.22,1,0.012,0.012,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.042678,0,1.0406e+05,0.079548,290.22,1,0.015,0.015,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.051226,0,1.0406e+05,0.079552,290.22,1,0.018,0.018,0.3,0
1.2491,2.9279e+05,0.66928,285.51,0.059789,0,1.0406e+05,0.079556,290.22,1,0.021,0.021,0.3,0
1.2491,2.9279e+05,0.66927,285.51,0.068356,0,1.0406e+05,0.079561,290.22,1,0.024,0.024,0.3,0
1.2491,2.9279e+05,0.66927,285.51,0.076942,0,1.0406e+05,0.079567,290.22,1,0.027,0.027,0.3,0
1.2491,2.9279e+05,0.66927,285.51,0.085534,0,1.0406e+05,0.079573,290.22,1,0.03,0.03,0.3,0
1.2491,2.9279e+05,0.66927,285.51,0.094147,0,1.0407e+05,0.07958,290.22,1,0.033,0.033,0.3,0
1.2491,2.9279e+05,0.66926,285.51,0.10277,0,1.0407e+05,0.079587,290.22,1,0.036,0.036,0.3,0
1.2491,2.9279e+05,0.66926,285.51,0.11142,0,1.0407e+05,0.079596,290.23,1,0.039,0.039,0.3,0
1.2491,2.9279e+05,0.66926,285.5,0.12008,0,1.0407e+05,0.079605,290.23,1,0.042,0.042,0.3,0
1.2491,2.9279e+05,0.66925,285.5,0.12876,0,1.0407e+05,0.079614,290.23,1,0.045,0.045,0.3,0
1.2491,2.9279e+05,0.66925,285.5,0.13747,0,1.0407e+05,0.079625,290.23,1,0.048,0.048,0.3,0
1.2491,2.9279e+05,0.66925,285.5,0.1462,0,1.0407e+05,0.079636,290.23,1,0.051,0.051,0.3,0
1.2491,2.928e+05,0.66924,285.5,0.15496,0,1.0407e+05,0.079647,290.23,1,0.054,0.054,0.3,0
1.2491,2.928e+05,0.66924,285.5,0.16374,0,1.0407e+05,0.079659,290.23,1,0.057,0.057,0.3,0
1.2491,2.928e+05,0.66923,285.5,0.17255,0,1.0407e+05,0.079673,290.23,1,0.06,0.06,0.3,0
1.2491,2.928e+05,0.66923,285.5,0.18139,0,1.0407e+05,0.079686,290.23,1,0.063,0.063,0.3,0
1.2491,2.928e+05,0.66922,285.5,0.19026,0,1.0407e+05,0.079701,290.23,1,0.066,0.066,0.3,0
1.2492,2.928e+05,0.66921,285.5,0.19916,0,1.0407e+05,0.079715,290.23,1,0.069,0.069,0.3,0
1.2492,2.928e+05,0.66921,285.49,0.20811,0,1.0407e+05,0.079731,290.23,1,0.072,0.072,0.3,0
1.2492,2.928e+05,0.6692,285.49,0.21707,0,1.0407e+05,0.079747,290.23,1,0.075,0.075,0.3,0
1.2492,2.928e+05,0.6692,285.49,0.2261,0,1.0407e+05,0.079765,290.23,1,0.078,0.078,0.3,0
1.2492,2.928e+05,0.66919,285.49,0.23513,0,1.0407e+05,0.079782,290.23,1,0.081,0.081,0.3,0
1.2492,2.928e+05,0.66918,285.49,0.24424,0,1.0407e+05,0.079801,290.23,1,0.084,0.084,0.3,0
1.2492,2.9281e+05,0.66917,285.49,0.25336,0,1.0407e+05,0.07982,290.23,1,0.087,0.087,0.3,0
1.2492,2.9281e+05,0.66917,285.49,0.26256,0,1.0407e+05,0.07984,290.23,1,0.09,0.09,0.3,0
1.2492,2.9281e+05,0.66916,285.48,0.27176,0,1.0407e+05,0.07986,290.23,1,0.093,0.093,0.3,0
1.2492,2.9281e+05,0.66915,285.48,0.28105,0,1.0408e+05,0.079882,290.23,1,0.096,0.096,0.3,0
1.2492,2.9281e+05,0.66914,285.48,0.29035,0,1.0408e+05,0.079904,290.23,1,0.099,0.099,0.3,0
1.2492,2.9281e+05,0.66913,285.48,0.29975,0,1.0408e+05,0.079927,290.23,1,0.102,0.102,0.3,0
1.2492,2.9281e+05,0.66912,285.48,0.30915,0,1.0408e+05,0.07995,290.23,1,0.105,0.105,0.3,0
1.2492,2.9282e+05,0.66911,285.47,0.31864,0,1.0408e+05,0.079974,290.24,1,0.108,0.108,0.3,0
1.2492,2.9282e+05,0.6691,285.47,0.32816,0,1.0408e+05,0.079999,290.24,1,0.111,0.111,0.3,0
1.2492,2.9282e+05,0.66909,285.47,0.33776,0,1.0408e+05,0.080024,290.24,1,0.114,0.114,0.3,0
1.2493,2.9282e+05,0.66908,285.47,0.3474,0,1.0408e+05,0.080051,290.24,1,0.117,0.117,0.3,0
1.2493,2.9282e+05,0.66907,285.47,0.35712,0,1.0408e+05,0.080078,290.24,1,0.12,0.12,0.3,0
1.2493,2.9282e+05,0.66906,285.46,0.36688,0,1.0408e+05,0.080105,290.24,1,0.123,0.123,0.3,0
1.2493,2.9282e+05,0.66905,285.46,0.37672,0,1.0408e+05,0.080134,290.24,1,0.126,0.126,0.3,0
1.2493,2.9283e+05,0.66904,285.46,0.38662,0,1.0409e+05,0.080163,290.24,1,0.129,0.129,0.3,0
1.2493,2.9283e+05,0.66903,285.46,0.39659,0,1.0409e+05,0.080193,290.24,1,0.132,0.132,0.3,0
1.2493,2.9283e+05,0.66902,285.45,0.40662,0,1.0409e+05,0.080224,290.24,1,0.135,0.135,0.3,0
1.2493,2.9283e+05,0.66901,285.45,0.41673,0,1.0409e+05,0.080255,290.24,1,0.138,0.138,0.3,0
1.2493,2.9283e+05,0.66899,285.45,0.42691,0,1.0409e+05,0.080288,290.24,1,0.141,0.141,0.3,0
1.2493,2.9284e+05,0.66898,285.44,0.43716,0,1.0409e+05,0.080321,290.25,1,0.144,0.144,0.3,0
1.2493,2.9284e+05,0.66897,285.44,0.4475,0,1.0409e+05,0.080355,290.25,1,0.147,0.147,0.3,0
1.2494,2.9284e+05,0.66895,285.44,0.45789,0,1.0409e+05,0.080389,290.25,1,0.15,0.15,0.3,0
1.2494,2.9284e+05,0.66894,285.44,0.4684,0,1.0409e+05,0.080425,290.25,1,0.153,0.153,0.3,0
1.2494,2.9284e+05,0.66893,285.43,0.47895,0,1.041e+05,0.080461,290.25,1,0.156,0.156,0.3,0
1.2494,2.9285e+05,0.66891,285.43,0.48962,0,1.041e+05,0.080498,290.25,1,0.159,0.159,0.3,0
1.2494,2.9285e+05,0.6689,285.43,0.50033,0,1.041e+05,0.080535,290.25,1,0.162,0.162,0.3,0
1.2494,2.9285e+05,0.66888,285.42,0.51119,0,1.041e+05,0.080574,290.25,1,0.165,0.165,0.3,0
1.2494,2.9285e+05,0.66887,285.42,0.52207,0,1.041e+05,0.080613,290.25,1,0.168,0.168,0.3,0
1.2494,2.9286e+05,0.66885,285.42,0.53312,0,1.041e+05,0.080653,290.25,1,0.171,0.171,0.3,0
1.2494,2.9286e+05,0.66883,285.41,0.54418,0,1.041e+05,0.080694,290.26,1,0.174,0.174,0.3,0
1.2495,2.9286e+05,0.66882,285.41,0.55542,0,1.0411e+05,0.080736,290.26,1,0.177,0.177,0.3,0
