Density,Momentum:0,Momentum:1,Energy
1.2499,285.28,5.0024E-05,292950
1.2499,285.28,2.6704E-05,292950
1.2499,285.28,1.8227E-05,292960
1.2499,285.27,1.1359E-05,292960
1.25,285.27,1.3916E-05,292960
1.25,285.26,1.5541E-05,292970
1.25,285.25,1.4861E-05,292980
1.2501,285.23,1.4355E-05,292990
1.2501,285.22,1.4195E-05,293000
1.2502,285.2,1.4016E-05,293010
1.2503,285.17,1.3854E-05,293030
1.2504,285.14,1.3796E-05,293060
1.2506,285.1,1.3869E-05,293080
1.2507,285.05,1.4108E-05,293120
1.251,284.98,1.4572E-05,293160
1.2512,284.91,1.5332E-05,293220
1.2516,284.81,1.6496E-05,293280
1.252,284.7,1.8199E-05,293360
1.2524,284.56,2.0584E-05,293460
1.253,284.39,2.3852E-05,293580
1.2537,284.19,2.8218E-05,293720
1.2545,283.95,3.399E-05,293880
1.2555,283.67,4.1393E-05,294080
1.2567,283.34,5.0838E-05,294310
1.258,282.95,6.2354E-05,294570
1.2594,282.52,7.66E-05,294860
1.2611,282.02,9.2823E-05,295190
1.2629,281.48,0.00011274,295560
1.2648,280.89,0.00013297,295940
1.2668,280.27,0.00015966,296350
1.2689,279.63,0.00016894,296760
1.2709,278.99,0.00012799,297160
1.2728,278.39,5.1786E-05,297550
1.2746,277.84,0.00014378,297900
1.2762,277.31,0.00060467,298230
1.2779,276.76,0.00058285,298560
1.2797,276.17,0.00023392,298920
1.2816,275.54,0.00034002,299300
1.2836,274.87,0.00045981,299700
1.2857,274.15,0.000494,300120
1.2879,273.39,0.0005447,300560
1.2903,272.58,0.00061781,301030
1.2927,271.71,0.00069841,301530
1.2953,270.77,0.0007905,302050
1.2981,269.78,0.00089947,302600
1.301,268.71,0.0010282,303180
1.3041,267.57,0.0011812,303790
1.3074,266.34,0.0013641,304440
1.3108,265.02,0.0015855,305120
1.3144,263.61,0.0018543,305840
1.3182,262.08,0.0021866,306600
1.3223,260.43,0.0025972,307410
1.3266,258.65,0.0031193,308260
1.3311,256.71,0.0037785,309160
1.336,254.61,0.0046516,310110
1.3411,252.32,0.0057859,311130
1.3466,249.81,0.0073833,312200
1.3524,247.06,0.009552,313350
1.3586,244,0.012932,314580
1.3653,240.6,0.017972,315900
