Density,Momentumx,MomentumY,Energy
1.25,285.27,7.9418E-06,292960
1.25,285.27,4.2013E-06,292960
1.25,285.27,3.0304E-06,292960
1.25,285.27,1.9838E-06,292960
1.25,285.26,2.3921E-06,292960
1.25,285.26,2.7007E-06,292970
1.25,285.26,2.6372E-06,292970
1.25,285.26,2.5869E-06,292970
1.25,285.26,2.5919E-06,292970
1.25,285.26,2.5874E-06,292970
1.25,285.25,2.5723E-06,292970
1.25,285.25,2.5587E-06,292970
1.25,285.25,2.5469E-06,292980
1.25,285.24,2.5352E-06,292980
1.2501,285.24,2.5241E-06,292980
1.2501,285.23,2.514E-06,292990
1.2501,285.23,2.5051E-06,292990
1.2501,285.22,2.4972E-06,292990
1.2501,285.22,2.4909E-06,293000
1.2502,285.21,2.4859E-06,293000
1.2502,285.2,2.4827E-06,293010
1.2502,285.2,2.481E-06,293010
1.2502,285.19,2.4815E-06,293020
1.2503,285.18,2.4838E-06,293030
1.2503,285.17,2.4887E-06,293030
1.2503,285.16,2.4958E-06,293040
1.2504,285.14,2.506E-06,293050
1.2504,285.13,2.5187E-06,293060
1.2505,285.12,2.5352E-06,293070
1.2505,285.1,2.5549E-06,293080
1.2506,285.09,2.5787E-06,293090
1.2507,285.07,2.606E-06,293100
1.2507,285.05,2.6392E-06,293120
1.2508,285.03,2.6776E-06,293130
1.2509,285,2.7221E-06,293150
1.251,284.98,2.7719E-06,293170
1.2511,284.95,2.8291E-06,293190
1.2512,284.92,2.8935E-06,293210
1.2513,284.88,2.966E-06,293230
1.2514,284.85,3.0466E-06,293260
1.2516,284.81,3.1385E-06,293290
1.2517,284.77,3.2433E-06,293310
1.2519,284.72,3.3608E-06,293350
1.252,284.67,3.4903E-06,293380
1.2522,284.62,3.6324E-06,293420
1.2524,284.56,3.7892E-06,293460
1.2526,284.5,3.9627E-06,293500
1.2529,284.44,4.1565E-06,293550
1.2531,284.37,4.3684E-06,293600
1.2534,284.29,4.6012E-06,293650
1.2537,284.21,4.8558E-06,293710
1.254,284.12,5.1389E-06,293770
1.2543,284.02,5.4484E-06,293840
1.2547,283.92,5.7905E-06,293910
1.255,283.81,6.1629E-06,293980
1.2554,283.7,6.5737E-06,294060
1.2559,283.57,7.0197E-06,294150
1.2563,283.44,7.5102E-06,294240
1.2568,283.3,8.0412E-06,294330
1.2573,283.16,8.6232E-06,294430
