VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.280537733,       1.098801238,       1.243501942,       4.221494793
          0,           0,           1,      -2.159692671,      0.2557554624,      0.4055882495,       3.352568649
          0,           0,           2,      -2.261589739,     0.04366812484,      0.1339290862,       3.246673047
          0,           0,           3,      -2.307863939,   -0.008816157599,     0.04228206583,       3.194379079
          0,           0,           4,      -2.357458989,    -0.06661502842,     -0.0470524261,       3.140328954
          0,           0,           5,      -2.387863716,    -0.05999811389,    -0.08658945642,       3.108143852
          0,           0,           6,      -2.412255931,    -0.05881696064,       -0.12650114,       3.085471112
          0,           0,           7,      -2.446125107,    -0.06239657992,     -0.1755412413,       3.053567903
          0,           0,           8,       -2.50105615,     -0.1115109332,     -0.2738059433,       2.999279645
          0,           0,           9,      -2.571880798,     -0.1895727527,     -0.3702600421,       2.928041042
          0,           0,          10,      -2.650844968,     -0.2882358696,     -0.4525958706,       2.848579284
          0,           0,          11,      -2.734715197,     -0.4000787581,     -0.5206549631,       2.764554451
          0,           0,          12,       -2.81586091,     -0.5060184443,      -0.592332032,       2.683447308
          0,           0,          13,      -2.886698229,     -0.5934783589,     -0.6790696069,       2.612851734
          0,           0,          14,       -2.94990899,     -0.6658312721,     -0.7710809336,       2.549795753
          0,           0,          15,      -3.007158215,     -0.7305573609,     -0.8523677579,       2.492348505
          0,           0,          16,      -3.059464981,     -0.7949099576,     -0.9239949436,       2.439606425
          0,           0,          17,      -3.109828805,     -0.8620335219,     -0.9939710732,       2.388878772
          0,           0,          18,      -3.161797686,     -0.9273667391,      -1.063730298,        2.33677644
          0,           0,          19,      -3.216889007,     -0.9809537178,      -1.126446888,       2.281687858
          0,           0,          20,      -3.275703293,       -1.01620437,      -1.182891835,       2.222856712
          0,           0,          21,      -3.339208087,      -1.040351339,      -1.237149428,       2.159296015
          0,           0,          22,      -3.408098181,      -1.067141775,      -1.291521606,       2.090335083
          0,           0,          23,       -3.48190685,      -1.105041791,      -1.349034488,       2.016453149
          0,           0,          24,      -3.558864386,      -1.155558662,      -1.410644088,       1.939382697
          0,           0,          25,      -3.635982772,      -1.215949445,      -1.476099385,       1.862026978
          0,           0,          26,      -3.710409128,      -1.281634614,       -1.54322064,       1.787182407
          0,           0,          27,      -3.779673436,      -1.347392479,      -1.608968869,       1.717339965
          0,           0,          28,      -3.842693358,      -1.408599689,      -1.669692072,       1.653672223
          0,           0,          29,      -3.900675256,      -1.462666762,      -1.723959012,       1.595071968
          0,           0,          30,      -3.956755426,      -1.510087312,      -1.773382914,       1.538412944
          0,           0,          31,      -4.014073647,      -1.552979992,      -1.821528438,       1.480484536
          0,           0,          32,      -4.074351394,      -1.592558794,      -1.871905353,        1.41948422
          0,           0,          33,      -4.137084227,      -1.629153591,      -1.927028663,        1.35583906
          0,           0,          34,      -4.200711715,      -1.663429367,      -1.987560471,       1.291096597
          0,           0,          35,      -4.263332592,      -1.696027546,       -2.05265165,       1.227179882
          0,           0,          36,      -4.323578374,      -1.727395448,       -2.12047551,       1.165480954
          0,           0,          37,      -4.381161855,      -1.757626289,      -2.188737198,       1.106278681
          0,           0,          38,      -4.436562042,      -1.786378768,      -2.255332742,       1.049066002
          0,           0,          39,       -4.49026143,      -1.813025897,       -2.31850825,      0.9933285003
          0,           0,          40,      -4.542523863,      -1.837167793,      -2.377104996,      0.9388037966
          0,           0,          41,      -4.593399059,      -1.858827917,      -2.430582164,      0.8854720791
          0,           0,          42,      -4.642866134,      -1.878310538,      -2.479212997,      0.8333912489
          0,           0,          43,      -4.690819148,      -1.896130816,      -2.524009026,      0.7827031408
          0,           0,          44,      -4.737035906,      -1.912807597,      -2.566547719,      0.7336814673
          0,           0,          45,      -4.781232946,      -1.928708905,      -2.608498342,      0.6866670744
          0,           0,          46,      -4.823038715,      -1.944000838,      -2.650986832,      0.6421128888
          0,           0,          47,      -4.862276126,      -1.958758231,      -2.694376249,      0.6002824739
          0,           0,          48,      -4.899082297,      -1.972998747,      -2.738149993,      0.5610840312
          0,           0,          49,      -4.933693434,      -1.986742928,      -2.781087456,      0.5243248867
          0,           0,          50,       -4.96645067,      -2.000029088,      -2.821520277,      0.4896826054
          0,           0,          51,       -4.99773649,      -2.012884056,      -2.858778253,      0.4567666603
          0,           0,          52,      -5.027863093,      -2.025358026,      -2.892927235,      0.4252625661
          0,           0,          53,      -5.057032146,       -2.03749809,      -2.924706436,       0.394985592
          0,           0,          54,      -5.085319492,      -2.049331512,       -2.95520852,      0.3659003647
          0,           0,          55,      -5.112707863,      -2.060865941,      -2.985418951,      0.3380809127
          0,           0,          56,      -5.139136172,      -2.072101003,      -3.015921304,       0.311649189
          0,           0,          57,      -5.164560051,      -2.083037863,      -3.046846402,      0.2867011796
          0,           0,          58,      -5.188985456,      -2.093678545,      -3.077974963,      0.2632610101
          0,           0,          59,      -5.212477893,       -2.10403708,      -3.108889863,       0.241273478
          0,           0,          60,      -5.235135039,       -2.11413364,      -3.139163575,         0.2206342
          0,           0,          61,      -5.257057484,      -2.123994899,       -3.16849288,      0.2012272411
          0,           0,          62,      -5.278323131,       -2.13365193,      -3.196753501,      0.1829565614
          0,           0,          63,      -5.298978677,      -2.143137659,      -3.223997418,      0.1657549498
          0,           0,          64,      -5.319047175,      -2.152485007,        -3.2504012,      0.1495742046
          0,           0,          65,      -5.338542174,      -2.161725649,      -3.276196325,      0.1343686062
          0,           0,          66,      -5.357480484,       -2.17088931,      -3.301608242,      0.1200814875
          0,           0,          67,      -5.375889816,      -2.180003091,      -3.326817196,      0.1066394308
          0,           0,          68,      -5.393811784,      -2.189091169,      -3.351941836,      0.0939525327
          0,           0,          69,      -5.411300564,      -2.198174862,      -3.377042508,     0.08191932457
          0,           0,          70,      -5.428418555,      -2.207272556,      -3.402136953,      0.0704340409
          0,           0,          71,      -5.445231378,      -2.216399855,       -3.42722042,     0.05939358839
          0,           0,          72,      -5.461803115,      -2.225569777,      -3.452283294,     0.04870313347
          0,           0,          73,      -5.478192581,      -2.234793009,      -3.477322125,     0.03827969339
          0,           0,          74,      -5.494450947,      -2.244078177,       -3.50234366,     0.02805372068
          0,           0,          75,      -5.510620604,      -2.253432116,       -3.52736367,     0.01796913105
          0,           0,          76,      -5.526735264,      -2.262860214,      -3.552402789,    0.007981935644
          0,           0,          77,      -5.542820984,      -2.272366477,      -3.577481547,   -0.001941756336
          0,           0,          78,      -5.558897648,      -2.281953928,      -3.602616154,    -0.01182796287
          0,           0,          79,       -5.57498051,      -2.291624767,      -3.627815792,    -0.02169691632
          0,           0,          80,      -5.591081576,      -2.301380549,       -3.65308172,    -0.03156473899
          0,           0,          81,      -5.607210707,      -2.311222339,       -3.67840829,    -0.04144468778
          0,           0,          82,      -5.623376401,      -2.321150834,      -3.703785093,    -0.05134800614
          0,           0,          83,       -5.63958633,      -2.331166474,      -3.729199376,    -0.06128447986
          0,           0,          84,       -5.65584765,      -2.341269527,      -3.754638144,    -0.07126277471
          0,           0,          85,       -5.67216711,      -2.351460134,      -3.780089146,    -0.08129060257
          0,           0,          86,      -5.688551074,      -2.361738352,       -3.80554136,    -0.09137481976
          0,           0,          87,      -5.705005702,      -2.372104238,      -3.830985307,     -0.1015215788
          0,           0,          88,      -5.721536679,      -2.382557817,      -3.856411737,     -0.1117362425
          0,           0,          89,      -5.738149155,      -2.393099097,       -3.88181075,     -0.1220234253
          0,           0,          90,      -5.754847671,      -2.403728069,      -3.907171608,     -0.1323869819
          0,           0,          91,      -5.771636046,      -2.414444682,      -3.932481932,      -0.142829956
          0,           0,          92,      -5.788517496,      -2.425248876,      -3.957727334,     -0.1533547827
          0,           0,          93,      -5.805494497,      -2.436140605,      -3.982891169,     -0.1639632809
          0,           0,          94,      -5.822568786,      -2.447119865,      -4.007953458,     -0.1746567351
          0,           0,          95,      -5.839740972,      -2.458186315,      -4.032893198,     -0.1854355625
          0,           0,          96,      -5.857011339,      -2.469339714,      -4.057685323,     -0.1962999728
          0,           0,          97,      -5.874379605,       -2.48057978,      -4.082302697,     -0.2072498547
          0,           0,          98,      -5.891844986,      -2.491906174,      -4.106716335,     -0.2182848283
          0,           0,          99,      -5.909406296,      -2.503318502,      -4.130895651,     -0.2294043242
          0,           0,         100,      -5.927062047,      -2.514816322,       -4.15480878,       -0.24060766
          0,           0,         101,      -5.944810543,      -2.526399148,      -4.178423113,     -0.2518941058
          0,           0,         102,      -5.962649964,      -2.538066466,      -4.201705819,      -0.263262936
          0,           0,         103,      -5.980578399,      -2.549817735,      -4.224624476,     -0.2747134591
          0,           0,         104,       -5.99859389,      -2.561652397,       -4.24714779,     -0.2862450344
          0,           0,         105,      -6.016694505,      -2.573569874,      -4.269246303,     -0.2978570856
          0,           0,         106,      -6.034878346,      -2.585569597,      -4.290892892,     -0.3095491472
          0,           0,         107,      -6.053143483,      -2.597651002,      -4.312063883,     -0.3213208066
          0,           0,         108,      -6.071487921,      -2.609813528,      -4.332739304,     -0.3331716964
          0,           0,         109,      -6.089909592,      -2.622056625,      -4.352903183,     -0.3451014897
          0,           0,         110,       -6.10840634,      -2.634379752,      -4.372543905,     -0.3571098944
          0,           0,         111,      -6.126975886,      -2.646782384,       -4.39165444,     -0.3691966431
          0,           0,         112,      -6.145615795,      -2.659264011,      -4.410232439,      -0.381361483
          0,           0,         113,      -6.164323445,      -2.671824139,      -4.428280195,     -0.3936041664
          0,           0,         114,      -6.183095981,      -2.684462286,      -4.445804488,     -0.4059244393
          0,           0,         115,      -6.201930297,      -2.697177981,      -4.462816289,     -0.4183220339
