Density,Momentum_x,Momentum_y,Energy
1.25,285.27,3.1744E-05,292960
1.25,285.27,1.6967E-05,292960
1.25,285.26,1.1822E-05,292960
1.25,285.26,7.5174E-06,292970
1.25,285.26,9.1656E-06,292970
1.25,285.25,1.0292E-05,292970
1.25,285.25,9.9343E-06,292980
1.2501,285.24,9.6655E-06,292980
1.2501,285.23,9.615E-06,292990
1.2501,285.22,9.5335E-06,293000
1.2502,285.2,9.431E-06,293010
1.2502,285.19,9.3559E-06,293020
1.2503,285.17,9.3125E-06,293030
1.2504,285.14,9.3021E-06,293050
1.2505,285.12,9.3341E-06,293070
1.2506,285.08,9.4179E-06,293090
1.2507,285.05,9.569E-06,293120
1.2509,285,9.8041E-06,293150
1.2511,284.95,1.0139E-05,293190
1.2513,284.88,1.0595E-05,293240
1.2516,284.81,1.121E-05,293290
1.2519,284.72,1.2028E-05,293350
1.2522,284.62,1.3077E-05,293420
1.2527,284.5,1.4404E-05,293500
1.2531,284.36,1.6074E-05,293600
1.2537,284.2,1.8144E-05,293710
1.2543,284.01,2.0715E-05,293840
1.2551,283.8,2.385E-05,293990
1.2559,283.56,2.7688E-05,294150
1.2568,283.29,3.2233E-05,294340
1.2579,282.98,3.7749E-05,294550
1.259,282.64,4.4009E-05,294780
1.2603,282.27,5.1687E-05,295030
1.2616,281.86,5.9677E-05,295300
1.2631,281.42,7.021E-05,295600
1.2646,280.95,7.9114E-05,295900
1.2662,280.46,9.4485E-05,296220
1.2678,279.96,0.0001011,296550
1.2695,279.45,0.00012672,296880
1.2711,278.94,9.35E-05,297200
1.2726,278.46,6.6943E-05,297500
1.274,278.01,1.3019E-05,297790
1.2754,277.59,0.00025376,298060
1.2766,277.17,0.00046508,298310
1.278,276.72,0.00016592,298580
1.2794,276.26,0.00014794,298870
1.2809,275.76,0.00023774,299160
1.2824,275.25,0.00026027,299470
1.2841,274.7,0.00027213,299800
1.2858,274.13,0.00029886,300130
1.2875,273.53,0.00032872,300490
1.2894,272.89,0.00035977,300850
1.2913,272.22,0.00039484,301240
1.2933,271.51,0.00043459,301640
1.2954,270.77,0.0004794,302050
1.2976,269.98,0.00053015,302490
1.2998,269.15,0.00058794,302940
1.3022,268.28,0.00065395,303420
