Density,Momentumx,Momentumy,Energy
1.25,285.27,1.4111E-05,292960
1.25,285.27,7.5027E-06,292960
1.25,285.27,5.3534E-06,292960
1.25,285.27,3.474E-06,292960
1.25,285.26,4.2043E-06,292960
1.25,285.26,4.7408E-06,292970
1.25,285.26,4.614E-06,292970
1.25,285.26,4.5161E-06,292970
1.25,285.25,4.5166E-06,292970
1.25,285.25,4.5E-06,292980
1.25,285.24,4.4664E-06,292980
1.2501,285.24,4.4373E-06,292980
1.2501,285.23,4.4128E-06,292990
1.2501,285.22,4.3908E-06,292990
1.2501,285.21,4.372E-06,293000
1.2502,285.21,4.3579E-06,293010
1.2502,285.19,4.349E-06,293010
1.2503,285.18,4.3457E-06,293020
1.2503,285.17,4.3494E-06,293030
1.2504,285.15,4.3605E-06,293040
1.2504,285.14,4.3796E-06,293050
1.2505,285.12,4.4093E-06,293070
1.2506,285.1,4.4497E-06,293080
1.2506,285.07,4.5008E-06,293100
1.2507,285.05,4.5683E-06,293120
1.2508,285.02,4.653E-06,293140
1.251,284.99,4.7536E-06,293160
1.2511,284.95,4.8773E-06,293190
1.2512,284.91,5.0238E-06,293220
1.2514,284.86,5.1931E-06,293250
1.2516,284.81,5.3986E-06,293280
1.2518,284.75,5.6427E-06,293320
1.252,284.69,5.9238E-06,293370
1.2522,284.62,6.2507E-06,293420
1.2525,284.54,6.624E-06,293470
1.2528,284.46,7.0524E-06,293530
1.2531,284.37,7.5498E-06,293600
1.2535,284.26,8.1128E-06,293670
1.2539,284.15,8.7531E-06,293750
1.2543,284.02,9.4919E-06,293840
1.2548,283.88,1.0329E-05,293930
1.2553,283.73,1.1276E-05,294040
1.2559,283.57,1.2354E-05,294150
1.2565,283.39,1.3564E-05,294270
1.2571,283.2,1.4924E-05,294400
1.2578,283,1.645E-05,294540
1.2586,282.77,1.8149E-05,294690
1.2594,282.54,2.0041E-05,294850
1.2602,282.28,2.213E-05,295020
1.2611,282.02,2.4423E-05,295200
1.2621,281.73,2.6948E-05,295390
1.263,281.44,2.9679E-05,295590
1.264,281.13,3.2655E-05,295790
1.2651,280.81,3.5851E-05,296000
1.2662,280.48,3.9291E-05,296210
1.2672,280.15,4.2985E-05,296430
1.2683,279.81,4.7267E-05,296650
1.2694,279.47,5.1054E-05,296870
1.2705,279.13,5.6234E-05,297080
1.2715,278.8,6.0073E-05,297290
1.2725,278.48,4.8049E-05,297490
1.2735,278.18,9.279E-06,297690
1.2744,277.89,7.4171E-06,297870
1.2753,277.62,0.00015867,298040
1.2761,277.34,0.00018962,298210
1.277,277.05,4.7168E-05,298380
1.2779,276.75,4.804E-05,298570
1.2789,276.44,0.00010059,298750
1.2798,276.12,9.6839E-05,298950
1.2808,275.8,9.4352E-05,299150
1.2818,275.45,0.00010405,299350
1.2829,275.1,0.00011041,299560
1.284,274.74,0.000116,299780
1.2851,274.36,0.000123,300000
1.2862,273.97,0.00013038,300230
1.2874,273.57,0.00013818,300470
1.2886,273.15,0.00014662,300710
1.2899,272.72,0.00015571,300960
1.2912,272.27,0.0001655,301210
1.2925,271.8,0.00017608,301480
1.2938,271.32,0.00018752,301750
1.2952,270.83,0.00019992,302030
1.2967,270.31,0.00021338,302310
1.2982,269.77,0.000228,302610
1.2997,269.22,0.00024392,302910
1.3013,268.64,0.00026129,303230
1.3029,268.04,0.00028027,303550
1.3045,267.42,0.00030105,303880
1.3063,266.78,0.00032385,304220
1.308,266.11,0.00034891,304570
1.3098,265.42,0.00037653,304930
1.3117,264.7,0.00040703,305300
1.3136,263.95,0.0004408,305690
1.3156,263.16,0.00047828,306080
1.3176,262.35,0.00052,306480
1.3197,261.51,0.00056657,306900
1.3219,260.63,0.00061871,307330
1.3241,259.71,0.00067728,307770
1.3264,258.75,0.00074329,308230
1.3288,257.76,0.00081796,308700
1.3313,256.72,0.00090277,309180
1.3338,255.63,0.00099947,309680
1.3364,254.49,0.0011103,310200
1.3391,253.3,0.0012378,310730
1.3418,252.05,0.0013853,311280
1.3447,250.74,0.001557,311840
1.3477,249.37,0.001758,312430
1.3508,247.92,0.0019949,313040
1.3539,246.4,0.0022765,313670
1.3572,244.8,0.0026134,314320
1.3607,243.1,0.0030209,314990
1.3642,241.3,0.003517,315700
1.368,239.39,0.0041314,316430
1.3719,237.35,0.0048973,317190
1.3759,235.17,0.0058772,317990
1.3802,232.83,0.0071479,318820
1.3847,230.31,0.0088669,319700
1.3894,227.57,0.011221,320630
1.3944,224.57,0.014727,321620
1.3998,221.27,0.02007,322670
1.4056,217.59,0.029232,323800
1.412,213.41,0.046218,325040
1.419,208.55,0.080921,326400
1.427,202.75,0.15097,327960
1.4365,195.49,0.32171,329790
1.4481,185.56,0.56337,332030
1.461,170.54,0.80769,334400
1.4756,153.14,10.172,337140
1.4886,146.54,38.634,340010
1.4731,156.87,65.046,337090
1.4437,171.92,71.804,331070
1.4313,181.76,74.19,328660
1.4212,189.71,77.654,326740
1.4094,197.18,80.165,324450
1.3986,203.45,81.57,322310
1.3902,208.99,83.714,320700
1.3804,214.52,85.275,318780
1.3707,219.38,86.034,316850
1.3629,223.88,87.493,315350
1.3536,228.47,88.466,313520
1.3444,232.6,88.805,311680
1.3367,236.52,89.768,310200
1.3276,240.54,90.294,308390
1.3186,244.2,90.311,306570
1.3108,247.74,90.852,305060
1.3017,251.35,90.998,303260
1.2927,254.68,90.735,301430
1.2847,257.93,90.887,299860
1.2755,261.22,90.686,298030
1.2664,264.28,90.164,296180
1.2581,267.29,89.942,294530
1.2488,270.3,89.413,292660
1.2395,273.12,88.64,290780
1.2307,275.91,88.052,289040
1.2213,278.65,87.209,287130
1.2118,281.25,86.191,285200
1.2027,283.81,85.242,283360
1.193,286.29,84.098,281400
1.1833,288.67,82.838,279430
1.1737,290.98,81.534,277480
1.1639,293.19,80.104,275470
1.154,295.34,78.608,273450
1.1439,297.38,76.96,271390
1.1339,299.32,75.259,269330
1.1239,301.22,73.537,267270
1.1133,302.96,71.56,265090
1.1032,304.61,69.611,262990
1.0929,306.25,67.675,260880
1.082,307.67,65.392,258600
1.0716,309,63.22,256450
1.0612,310.37,61.088,254300
1.0499,311.43,58.531,251920
1.0395,312.45,56.166,249740
1.0289,313.52,53.861,247560
1.0173,314.21,51.068,245090
1.0068,314.89,48.546,242880
0.99619,315.65,46.096,240660
0.98426,315.95,43.113,238120
0.97374,316.3,40.474,235900
0.96312,316.74,37.912,233660
0.95101,316.65,34.789,231060
0.94054,316.67,32.075,228830
0.92994,316.77,29.436,226580
0.91775,316.29,26.231,223950
0.90737,315.99,23.485,221720
0.89685,315.77,20.809,219480
0.88469,314.91,17.579,216830
0.87445,314.3,14.843,214620
0.86407,313.77,12.17,212390
0.85205,312.57,8.9719,209750
0.84204,311.67,6.2886,207580
0.83186,310.85,3.6571,205380
0.82003,309.33,0.53489,202760
0.81019,308.17,-2.0805,200610
0.80016,307.07,-4.6636,198420
0.78851,305.25,-7.7022,195830
0.77883,303.85,-10.247,193700
0.76891,302.48,-12.775,191520
0.7574,300.38,-15.717,188950
0.74787,298.74,-18.169,186830
0.73811,297.12,-20.611,184670
0.72685,294.78,-23.41,182130
0.71755,292.94,-25.741,180050
0.708,291.1,-28.066,177930
0.69711,288.58,-30.686,175460
0.68808,286.57,-32.872,173420
0.67884,284.56,-35.056,171350
0.66839,281.9,-37.466,168970
0.65974,279.78,-39.495,167010
0.65077,277.57,-41.509,164970
0.64098,274.94,-43.713,162740
0.63231,272.56,-45.535,160750
0.62457,270.56,-47.432,159000
0.61498,267.25,-49.284,156720
0.60803,266.52,-51.275,155290
0.59232,262.02,-52.222,151640
0.5997,257.19,-52.882,152520
0.67597,244.14,-51.959,166570
0.96285,244.31,-55.791,227820
1.1569,242.75,-57.031,270220
1.1308,245.68,-58.836,264690
1.1192,245.14,-60.582,262130
1.1263,243.13,-62.045,263590
1.1323,241.19,-63.287,264820
1.1361,239.24,-64.491,265530
1.1409,237.11,-65.602,266500
1.1468,234.81,-66.594,267670
1.1529,232.36,-67.483,268880
1.1592,229.85,-68.232,270140
1.1655,227.18,-68.948,271390
1.172,224.36,-69.53,272700
1.1788,221.56,-69.935,274050
1.1852,218.57,-70.379,275330
1.192,215.42,-70.653,276660
1.1989,212.37,-70.719,278040
1.2052,209.08,-70.896,279290
1.212,205.62,-70.86,280610
1.2189,202.33,-70.588,281990
1.225,198.76,-70.497,283190
1.2317,194.99,-70.145,284500
1.2386,191.44,-69.529,285870
1.2445,187.55,-69.16,287010
1.2511,183.42,-68.474,288300
1.258,179.55,-67.495,289650
1.2637,175.25,-66.823,290760
1.2703,170.67,-65.768,292030
1.2771,166.35,-64.384,293380
1.2828,161.51,-63.353,294460
1.2893,156.29,-61.855,295730
1.2962,151.29,-59.981,297080
1.3019,145.58,-58.459,298150
1.3088,139.3,-56.332,299470
1.3159,132.92,-53.693,300860
1.3223,125.34,-51.153,302050
1.33,116.07,-47.4,303510
1.3383,104.61,-42.916,305070
1.3431,91.66,-34.768,305820
1.3538,91.417,-15.839,308130
1.3498,105.37,-0.70261,307490
1.3335,117.99,0.23551,304120
1.3294,125.7,0.068238,303400
1.3241,132.35,0.040555,302370
1.3192,138.03,0.0096251,301440
1.3149,142.98,-0.00034615,300610
1.3108,147.39,-0.0030206,299840
1.307,151.37,-0.0041234,299110
1.3034,155,-0.0043618,298420
1.2999,158.35,-0.0043144,297760
1.2967,161.44,-0.0041945,297130
1.2935,164.31,-0.0040749,296530
1.2905,167,-0.0039739,295960
1.2876,169.52,-0.0038941,295400
1.2849,171.89,-0.0038319,294870
1.2822,174.13,-0.0037807,294350
1.2796,176.24,-0.0037356,293850
1.2771,178.24,-0.0036928,293370
1.2747,180.15,-0.00365,292910
1.2723,181.96,-0.0036057,292460
1.2701,183.69,-0.0035595,292020
1.2679,185.34,-0.0035109,291600
1.2658,186.92,-0.0034603,291190
1.2637,188.43,-0.0034078,290790
1.2617,189.88,-0.0033537,290400
1.2597,191.27,-0.0032983,290030
1.2578,192.6,-0.0032419,289660
1.256,193.89,-0.0031847,289310
1.2542,195.12,-0.0031272,288960
1.2525,196.31,-0.0030693,288620
1.2508,197.46,-0.0030115,288290
1.2491,198.56,-0.0029538,287980
1.2475,199.63,-0.0028965,287660
1.2459,200.66,-0.0028396,287360
1.2444,201.66,-0.0027834,287060
1.2429,202.62,-0.0027279,286780
1.2414,203.55,-0.0026733,286500
1.24,204.45,-0.0026195,286220
1.2386,205.32,-0.0025667,285950
1.2373,206.16,-0.0025148,285690
1.236,206.98,-0.002464,285440
1.2347,207.77,-0.0024141,285190
1.2334,208.54,-0.0023654,284950
1.2322,209.28,-0.0023176,284720
1.231,210,-0.002271,284490
1.2299,210.7,-0.0022254,284260
1.2288,211.38,-0.0021808,284040
1.2276,212.04,-0.0021373,283830
1.2266,212.68,-0.0020948,283620
1.2255,213.3,-0.0020533,283420
1.2245,213.9,-0.0020128,283220
1.2235,214.49,-0.0019734,283030
1.2225,215.06,-0.0019348,282840
1.2216,215.61,-0.0018973,282660
1.2207,216.15,-0.0018604,282480
1.2198,216.67,-0.0018248,282310
1.2189,217.18,-0.0017899,282140
1.218,217.67,-0.0017551,281970
1.2172,218.15,-0.0017204,281810
1.2164,218.62,-0.0016944,281650
1.2156,219.07,-0.0016318,281500
1.2148,219.51,-0.0015632,281350
1.214,219.94,-0.0016017,281200
1.2133,220.36,-0.0017515,281060
1.2125,220.81,-0.0016993,280910
1.2117,221.3,-0.001478,280740
1.2107,221.81,-0.0014092,280570
1.2098,222.33,-0.001403,280390
1.2088,222.88,-0.0013476,280200
