VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.880031589,      0.4992765139,      0.6439972504,       3.622000938
          0,           0,           1,       -2.75604395,      -0.331201509,     -0.1997658727,       2.758337685
          0,           0,           2,      -2.922088424,     -0.5845746001,     -0.5301510419,       2.587730965
          0,           0,           3,      -2.994746547,     -0.6757465858,     -0.5910509615,       2.513750049
          0,           0,           4,      -3.027316518,     -0.7296612108,     -0.6952309813,       2.471550009
          0,           0,           5,      -3.010804083,     -0.6926903087,     -0.7504918538,       2.484122309
          0,           0,           6,      -2.978862739,     -0.6126958609,     -0.8092964656,       2.516249796
          0,           0,           7,      -2.898332346,     -0.4755348821,     -0.8353604955,       2.596334978
          0,           0,           8,      -2.966431905,     -0.5451605685,     -0.9098379091,       2.529413399
          0,           0,           9,      -3.044754643,     -0.6098919068,      -1.019210956,       2.450989799
          0,           0,          10,      -3.113979492,     -0.7292494288,      -1.084445285,       2.380783883
          0,           0,          11,      -3.178354594,     -0.8480972278,      -1.130248769,       2.317148006
          0,           0,          12,      -3.253780698,     -0.9436177009,      -1.193951513,       2.242398358
          0,           0,          13,      -3.349499661,      -1.036052188,       -1.25889077,        2.14816552
          0,           0,          14,      -3.438605669,      -1.117723787,      -1.313180234,       2.061298054
          0,           0,          15,      -3.507300612,      -1.176124099,      -1.376459282,       1.993472311
          0,           0,          16,      -3.570217501,      -1.226976695,      -1.439162825,       1.930144264
          0,           0,          17,      -3.640357301,       -1.29147632,      -1.492791342,        1.85957582
          0,           0,          18,      -3.709035211,      -1.356253428,      -1.541292107,        1.79050157
          0,           0,          19,      -3.770809586,      -1.411057862,      -1.589831554,       1.728171782
          0,           0,          20,      -3.830811095,       -1.46506178,      -1.638551682,       1.667919706
          0,           0,          21,      -3.891498707,      -1.524662725,       -1.68501366,       1.607426446
          0,           0,          22,       -3.95227196,      -1.587965478,      -1.732464541,       1.546952521
          0,           0,          23,      -4.014312207,      -1.650107298,      -1.784848521,       1.485010908
          0,           0,          24,      -4.079319719,      -1.706609404,      -1.841317412,        1.41983516
          0,           0,          25,      -4.144309707,       -1.75472986,      -1.898269564,       1.354477259
          0,           0,          26,      -4.203633429,      -1.795886362,      -1.954747542,       1.294697832
          0,           0,          27,      -4.255558132,      -1.836078559,      -2.010831079,       1.242306681
          0,           0,          28,      -4.304056753,       -1.88086314,      -2.065275099,       1.193281016
          0,           0,          29,      -4.352922632,       -1.92824483,      -2.117414581,       1.143717185
          0,           0,          30,      -4.403316788,      -1.972346467,      -2.169185304,       1.092415308
          0,           0,          31,      -4.456031999,      -2.012539813,      -2.222910558,       1.038622455
          0,           0,          32,      -4.511434535,       -2.05314621,       -2.27907289,      0.9819880915
          0,           0,          33,      -4.569468757,      -2.097526813,       -2.33670175,      0.9224570226
          0,           0,          34,       -4.62895696,      -2.143706731,      -2.394706006,      0.8610614701
          0,           0,          35,      -4.687801212,      -2.186073904,       -2.45239266,      0.7998902145
          0,           0,          36,      -4.742830576,      -2.221378411,      -2.509311709,      0.7423160961
          0,           0,          37,      -4.791988076,      -2.251015138,      -2.565163723,       0.690640362
          0,           0,          38,      -4.836578592,      -2.278289685,      -2.619973724,      0.6435269098
          0,           0,          39,      -4.880322932,      -2.305407463,      -2.674042697,      0.5968648745
          0,           0,          40,       -4.92622676,      -2.332881958,      -2.727087971,       0.547196828
          0,           0,          41,      -4.974412385,      -2.360330284,      -2.777608898,      0.4942277212
          0,           0,          42,      -5.022866645,       -2.38682368,      -2.823973052,      0.4402041534
          0,           0,          43,       -5.06981735,      -2.411436273,      -2.866545922,      0.3872690218
          0,           0,          44,      -5.115501369,      -2.434024299,      -2.908231686,      0.3351882613
          0,           0,          45,      -5.161005194,      -2.455208689,      -2.952350879,       0.282449476
          0,           0,          46,      -5.205939855,       -2.47548302,      -3.000799274,       0.229205732
          0,           0,          47,      -5.248483555,      -2.494667063,      -3.053308963,      0.1776606161
          0,           0,          48,      -5.287468197,      -2.512289224,      -3.108036084,      0.1296240858
          0,           0,          49,      -5.323384556,      -2.528301474,        -3.1625215,     0.08481093927
